rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,accuracy,f1_score,eo_diff,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio
8,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.846,0.8459944558004088,0.13333333333333336,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1
9,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.848,0.8479610780359772,0.16888888888888887,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
9,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.822,0.821942309308216,0.1390476190476191,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
9,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.78,0.7799436655783881,0.16799999999999993,female:0.9000/male:0.1000,female:0.5000/male:0.5000,1/9,5/5
9,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.768,0.7679851510496671,0.13333333333333341,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
9,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.744,0.7439836149513569,0.16000000000000003,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
9,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.836,0.8359763805988062,0.08000000000000007,female:0.5000/male:0.5000,female:0.9000/male:0.1000,5/5,1/9
9,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.83,0.8299176801571959,0.059047619047619015,female:0.5000/male:0.5000,female:0.7000/male:0.3000,5/5,3/7
9,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.826,0.8259157432197183,0.03200000000000003,female:0.5000/male:0.5000,female:0.5000/male:0.5000,5/5,5/5
9,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.826,0.8259658893143055,0.05714285714285705,female:0.5000/male:0.5000,male:0.7000/female:0.3000,5/5,7/3
9,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.844,0.843960053773766,0.06666666666666665,female:0.5000/male:0.5000,male:0.9000/female:0.1000,5/5,9/1
